Type,Rotational speed (rpm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
0.0,1301.0,219.0,9876.9,6144.442103621549,8.300000000000011
0.0,1681.0,171.0,5266.8,5421.844377369361,9.300000000000011
0.0,1395.0,201.0,9668.1,7026.643208651611,9.400000000000034
0.0,1453.0,168.0,6955.2,6299.333093419037,9.899999999999977
1.0,1485.0,117.0,4914.0,6531.371126813179,9.599999999999966
0.0,1479.0,47.0,1997.5,6582.422007434014,9.699999999999989
1.0,1617.0,158.0,6446.4,6908.739236362385,9.5
0.0,1670.0,68.0,2441.2,6278.263478688963,9.700000000000045
0.0,1977.0,182.0,3676.4,4182.025308605661,9.700000000000045
0.0,1470.0,109.0,5003.099999999999,7065.756037188804,11.100000000000023
0.0,1386.0,132.0,6600.0,7257.079029792422,8.400000000000034
1.0,2071.0,183.0,3550.2,4207.367489344618,10.800000000000011
1.0,1611.0,169.0,5374.2,5364.772110829146,8.5
1.0,1566.0,76.0,2386.4,5149.321686645957,11.100000000000023
0.0,1617.0,39.0,1236.3,5367.819455703128,10.699999999999989
1.0,1457.0,193.0,7083.1,5599.564273782935,10.099999999999966
2.0,1373.0,221.0,9900.8,6441.35402531232,10.699999999999989
0.0,1598.0,186.0,6584.4,5923.9127713150565,9.700000000000045
0.0,1448.0,196.0,9074.8,7020.663710634278,11.299999999999955
0.0,1615.0,183.0,5856.0,5411.916944584017,10.0
2.0,1697.0,210.0,6762.000000000001,5722.243466905617,11.900000000000034
0.0,1506.0,50.0,2000.0,6308.318048408304,8.899999999999977
0.0,1733.0,85.0,2108.0,4500.687523434785,8.900000000000034
0.0,1492.0,2.0,104.6,8171.450043595242,9.899999999999977
0.0,1568.0,25.0,940.0,6173.941658638757,9.199999999999989
0.0,1435.0,31.0,1342.3,6506.814344237619,9.800000000000011
1.0,1838.0,66.0,1643.3999999999999,4792.625256757372,8.800000000000011
0.0,1410.0,191.0,12548.7,9700.923955019922,10.100000000000023
1.0,2156.0,16.0,288.0,4063.9642566837565,9.899999999999977
1.0,1339.0,68.0,3495.2,7207.295258208535,10.899999999999977
1.0,1733.0,108.0,2883.6,4845.498261117289,8.800000000000011
1.0,1303.0,75.0,4447.5,8091.475566610358,9.900000000000034
2.0,1640.0,118.0,4436.8,6457.4389796987,10.0
1.0,1416.0,101.0,4635.9,6806.197652149215,11.199999999999989
0.0,1406.0,183.0,8893.800000000001,7155.668418934544,9.400000000000034
1.0,1353.0,192.0,8467.2,6248.345044651275,8.300000000000011
0.0,1716.0,156.0,4664.4,5373.003083581551,7.699999999999989
0.0,1533.0,92.0,3238.4,5650.845537865033,11.700000000000045
0.0,1451.0,18.0,855.0,7217.547322234751,9.699999999999989
0.0,1288.0,0.0,0.0,9239.214554697342,9.5
1.0,1449.0,34.0,1509.6,6737.208277476383,11.099999999999966
0.0,1446.0,64.0,2816.0,6662.689699733233,8.899999999999977
0.0,1688.0,135.0,3861.0,5055.534673960791,9.199999999999989
0.0,1491.0,195.0,7254.000000000001,5808.302161662954,9.200000000000045
0.0,1380.0,152.0,6247.2,5939.495070876863,11.700000000000045
0.0,1565.0,183.0,9570.9,8571.259596666592,9.899999999999977
0.0,1617.0,207.0,7845.299999999999,6417.6768886797645,7.800000000000011
1.0,1514.0,60.0,2262.0,5977.173238768916,10.699999999999989
0.0,1641.0,81.0,2899.7999999999997,6152.055229818749,9.5
1.0,1359.0,118.0,5994.4,7229.558678146976,9.699999999999989
1.0,1500.0,89.0,4067.3,7178.539213452677,9.300000000000011
1.0,1529.0,183.0,6935.7,6068.415561404676,11.099999999999966
1.0,1639.0,127.0,3784.6,5114.743223505447,9.300000000000011
2.0,1658.0,69.0,1904.4,4792.059770079727,11.300000000000011
0.0,1858.0,26.0,613.6,4591.835598290938,9.299999999999955
2.0,1318.0,88.0,4708.0,7384.10409275257,11.100000000000023
1.0,1433.0,62.0,2988.4,7233.056317967973,10.699999999999989
2.0,1427.0,8.0,449.6,8398.252089233403,11.300000000000011
0.0,1332.0,7.0,377.3,7518.33387486495,11.100000000000023
1.0,1316.0,197.0,10204.599999999999,7138.620042801063,9.0
0.0,1286.0,160.0,10384.0,8740.057369943972,9.5
0.0,1654.0,123.0,3554.7,5005.667126572808,9.600000000000023
0.0,1671.0,204.0,6099.599999999999,5232.102653068049,9.5
0.0,1656.0,120.0,4116.0,5948.165866600771,9.5
0.0,1578.0,44.0,1315.6,4940.908430006811,9.5
0.0,1389.0,64.0,2899.2,6589.145015712696,9.400000000000034
0.0,2183.0,110.0,1870.0,3886.2548322456937,8.100000000000023
0.0,1505.0,80.0,3688.0,7265.508970079554,9.800000000000011
0.0,1424.0,214.0,10807.0,7530.607030164973,9.099999999999966
1.0,1675.0,164.0,5822.0,6226.898438802769,9.200000000000045
1.0,1315.0,127.0,6210.3,6733.846773337043,11.0
0.0,1384.0,144.0,5702.400000000001,5739.312786990122,11.199999999999989
1.0,1794.0,38.0,1045.0,5166.349118828414,11.100000000000023
0.0,1759.0,5.0,139.5,5139.237174227935,9.199999999999989
0.0,1490.0,71.0,2385.6,5242.6898203106475,9.899999999999977
0.0,1426.0,102.0,4753.2,6958.795279309585,7.600000000000023
0.0,1443.0,217.0,9482.900000000001,6603.533510066138,11.100000000000023
0.0,2384.0,19.0,285.0,3744.7784430790334,9.300000000000011
1.0,1507.0,70.0,3339.0,7527.664405046113,8.899999999999977
2.0,1604.0,45.0,1372.5,5123.099859963995,11.299999999999955
0.0,1457.0,61.0,3135.4,7842.441516960297,10.5
0.0,1485.0,74.0,3137.6,6593.574661354258,11.0
0.0,1465.0,217.0,9027.2,6382.040756012545,9.100000000000023
0.0,1427.0,92.0,4388.400000000001,7128.05381950949,8.900000000000034
0.0,1699.0,178.0,5393.400000000001,5390.94157763355,8.800000000000011
1.0,1508.0,152.0,6262.400000000001,6506.196497682414,9.400000000000034
0.0,1556.0,135.0,6115.5,7381.3604351684335,8.200000000000045
0.0,1439.0,188.0,9757.199999999999,7820.9006633321815,11.200000000000045
0.0,1524.0,196.0,6703.200000000001,5458.077412640763,10.5
2.0,1466.0,66.0,2943.6,6846.954580841787,11.099999999999966
0.0,1727.0,213.0,5644.5,4792.5519529287885,9.400000000000034
0.0,1339.0,94.0,4662.400000000001,6954.899704419133,11.399999999999977
0.0,1513.0,117.0,3849.2999999999997,5212.708554419888,9.400000000000034
0.0,1443.0,97.0,4432.900000000001,6905.754723341476,11.300000000000011
1.0,1382.0,67.0,3892.7000000000003,8408.388961528986,9.100000000000023
0.0,1763.0,27.0,737.1,5040.151341933713,7.899999999999977
0.0,1333.0,11.0,607.2,7705.447133312758,11.0
0.0,1378.0,94.0,4671.8,7171.899980978092,11.199999999999989
0.0,1547.0,201.0,8040.0,6480.058446804546,11.199999999999989
1.0,1743.0,210.0,5733.0,4982.974355638378,8.400000000000034
1.0,1476.0,129.0,5611.5,6723.636597212875,10.100000000000023
0.0,1335.0,135.0,7114.5,7367.506011566104,9.300000000000011
0.0,1482.0,82.0,3157.0,5974.995067862427,9.5
1.0,1557.0,65.0,2294.5,5755.617652862252,8.900000000000034
1.0,1534.0,151.0,5103.799999999999,5429.635527150263,10.800000000000011
1.0,1657.0,70.0,2170.0,5379.139661231563,11.300000000000011
1.0,1547.0,181.0,6878.0,6156.055524464319,9.300000000000011
0.0,1517.0,167.0,6863.7,6529.140596029131,8.799999999999955
0.0,1923.0,172.0,4007.6,4692.062875915964,7.900000000000034
1.0,1648.0,134.0,3899.4,5022.024352322501,10.699999999999989
1.0,1494.0,33.0,1270.5,6023.37559472771,9.599999999999966
0.0,1610.0,155.0,4913.5,5344.582142042075,10.800000000000011
1.0,1456.0,205.0,10004.0,7440.631816566162,9.199999999999989
2.0,1518.0,87.0,4080.2999999999997,7455.439189940082,11.299999999999955
1.0,1625.0,121.0,4343.9,6109.0887142931515,8.800000000000011
0.0,1419.0,115.0,4565.5,5899.31410083745,11.100000000000023
0.0,1465.0,109.0,4806.900000000001,6765.5768591382985,9.699999999999989
0.0,1649.0,9.0,298.8,5733.071489584991,9.0
1.0,1560.0,141.0,5499.0,6371.1499014801,10.5
1.0,1396.0,117.0,4469.400000000001,5584.411325217121,9.399999999999977
0.0,2165.0,143.0,2488.2,3944.8978951127033,9.599999999999966
1.0,1748.0,200.0,5680.0,5198.623747356293,8.600000000000023
1.0,1706.0,153.0,3825.0,4466.29755585349,10.300000000000011
0.0,1431.0,210.0,10437.0,7447.742287938787,10.900000000000034
0.0,1490.0,97.0,3327.1,5351.912524900452,10.600000000000023
1.0,1377.0,35.0,1652.0,6806.197652149215,9.300000000000011
0.0,1527.0,165.0,5791.5,5612.738018976989,10.699999999999989
0.0,1414.0,11.0,517.0,6959.465485742348,9.399999999999977
1.0,1465.0,78.0,3229.2,6351.3578677624855,11.400000000000034
0.0,1453.0,84.0,3687.6,6679.727603891201,10.099999999999966
0.0,1664.0,196.0,5546.8,4931.378932290923,10.5
0.0,1400.0,136.0,5657.6,6098.878538168985,9.399999999999977
1.0,1646.0,46.0,1168.3999999999999,4378.165409944782,10.599999999999966
1.0,1530.0,206.0,8240.0,6408.849013323178,11.699999999999989
0.0,1386.0,2.0,93.2,6763.597655766537,10.600000000000023
0.0,1632.0,121.0,3702.6000000000004,5229.620794871714,9.199999999999989
2.0,1390.0,131.0,6812.0,7569.143900049008,10.5
0.0,1532.0,136.0,5263.200000000001,6208.666729436436,11.200000000000045
0.0,1365.0,70.0,3339.0,6818.3556157186085,9.199999999999989
1.0,1666.0,198.0,6138.0,5408.356472909948,10.5
0.0,1753.0,42.0,1218.0,5323.6381910181435,9.300000000000011
1.0,1609.0,166.0,6457.4,6554.419944915017,10.799999999999955
1.0,1396.0,11.0,555.5,7382.533296425774,9.0
0.0,1406.0,3.0,142.2,6978.985248096653,9.099999999999966
0.0,1723.0,67.0,1829.1000000000001,4925.797369343044,10.899999999999977
1.0,1405.0,80.0,3832.0,7047.587159675543,8.800000000000011
0.0,1466.0,152.0,6672.8,6739.491168137992,8.800000000000011
0.0,1658.0,150.0,4845.0,5608.098933825187,9.300000000000011
1.0,1652.0,81.0,2511.0,5362.908099188016,9.300000000000011
0.0,1511.0,148.0,7074.4,7563.468089321524,9.699999999999989
2.0,1565.0,94.0,3694.2,6440.7361787571135,11.0
0.0,1877.0,4.0,95.6,4697.759630594473,9.199999999999989
2.0,1732.0,141.0,4187.7,5386.826091257347,9.699999999999989
0.0,1508.0,184.0,7636.0,6553.571714898548,10.0
1.0,1310.0,103.0,5026.4,6694.524505289609,9.5
0.0,1455.0,145.0,5771.0,6064.2162992243775,9.399999999999977
0.0,1610.0,212.0,7144.400000000001,5681.779753527381,10.800000000000011
0.0,1306.0,57.0,3687.9,8848.630812052035,10.0
0.0,1446.0,134.0,8428.6,9524.617775300461,9.300000000000011
0.0,1635.0,107.0,3317.0,5307.720788239955,9.399999999999977
2.0,1654.0,161.0,4604.6,4953.705184082433,10.199999999999989
2.0,1329.0,30.0,1467.0,6805.537917691961,11.300000000000011
1.0,1485.0,143.0,6849.7,7448.873261294079,11.600000000000023
0.0,1577.0,158.0,5830.2,6093.778686094657,8.300000000000011
0.0,1377.0,4.0,221.2,7974.210384827364,9.599999999999966
0.0,1508.0,108.0,4935.6,7216.8247559244255,9.400000000000034
0.0,1474.0,20.0,788.0,6081.662610427313,10.700000000000045
0.0,1455.0,130.0,5421.0,6353.714062252678,11.5
0.0,1629.0,177.0,5770.2,5561.184483531581,11.099999999999966
0.0,1431.0,90.0,4086.0,6803.370218760984,9.100000000000023
1.0,1391.0,218.0,11314.199999999999,7560.022809378085,10.799999999999955
0.0,1720.0,106.0,3042.2,5169.385991726885,9.100000000000023
0.0,1229.0,209.0,13626.800000000001,8391.277753542434,11.299999999999955
2.0,1524.0,192.0,7948.799999999999,6607.146341617766,11.300000000000011
2.0,1597.0,160.0,5728.0,5987.10067155426,9.699999999999989
1.0,1635.0,110.0,3542.0000000000005,5513.180947784728,11.099999999999966
0.0,1543.0,55.0,1870.0,5493.807793087591,8.899999999999977
0.0,1523.0,55.0,2442.0,7081.275504897537,10.0
1.0,1465.0,173.0,7335.2,6504.7723090127865,10.800000000000011
0.0,1414.0,162.0,6285.599999999999,5745.2608690809175,9.5
1.0,1411.0,51.0,2300.1,6663.956808770181,11.199999999999989
0.0,1412.0,85.0,4182.0,7274.923276064813,9.300000000000011
1.0,1480.0,200.0,9140.0,7082.825357273308,8.700000000000045
1.0,1422.0,194.0,9001.6,6909.4932185992475,9.5
0.0,1589.0,75.0,2842.5,6306.548284546782,9.5
0.0,1461.0,146.0,7665.0,8032.267017065704,9.300000000000011
0.0,1424.0,155.0,7672.5,7381.486098874578,9.5
0.0,2168.0,219.0,3876.2999999999997,4018.4739950597764,8.699999999999989
1.0,1699.0,105.0,3307.5,5604.444214371511,9.099999999999966
0.0,1569.0,140.0,4914.0,5767.1158819743905,10.599999999999966
2.0,2207.0,43.0,713.8000000000001,3836.53389251488,10.199999999999989
0.0,1650.0,93.0,2771.4,5149.07035923367,9.699999999999989
0.0,1356.0,119.0,5438.3,6489.3994489612205,9.100000000000023
1.0,1360.0,69.0,3650.1,7533.958062328803,9.800000000000011
0.0,1297.0,130.0,6500.0,6791.076119509936,9.5
0.0,1404.0,31.0,1577.8999999999999,7483.650691969317,8.0
0.0,1515.0,228.0,11149.199999999999,7758.005978407315,9.800000000000011
0.0,1587.0,43.0,1350.2,5218.373893171861,8.899999999999977
0.0,1540.0,175.0,6352.499999999999,5854.043750699219,11.5
0.0,1544.0,25.0,795.0,5141.656200571199,10.0
0.0,2113.0,95.0,1757.5,4093.54758750506,10.100000000000023
1.0,1612.0,150.0,4965.0,5587.55291787071,9.099999999999966
2.0,1520.0,154.0,5482.400000000001,5666.59538903503,8.800000000000011
0.0,1513.0,212.0,9094.8,6797.11844938034,11.300000000000011
0.0,1439.0,203.0,7328.3,5439.971366980574,9.399999999999977
0.0,1434.0,138.0,6665.4,7253.120623048899,10.800000000000011
1.0,1533.0,137.0,5219.7,6116.398153200504,9.300000000000011
0.0,1710.0,14.0,380.8,4870.725250125615,9.199999999999989
1.0,1354.0,96.0,5836.799999999999,8620.865344666776,11.199999999999989
1.0,1488.0,196.0,8212.4,6528.983516396451,10.699999999999989
1.0,1449.0,113.0,5028.5,6752.382169993221,9.300000000000011
2.0,1908.0,104.0,2215.2000000000003,4255.852735965022,9.600000000000023
0.0,1385.0,119.0,5140.8,6265.592388319484,11.0
1.0,1325.0,34.0,1768.0,7215.191127744559,11.199999999999989
0.0,1525.0,179.0,7285.3,6499.693400889484,8.100000000000023
0.0,1384.0,141.0,6852.6,7043.702056760604,9.199999999999989
0.0,1516.0,119.0,5474.0,7302.736843024594,9.399999999999977
1.0,1604.0,119.0,3772.2999999999997,5324.664444618316,11.0
0.0,1476.0,223.0,10659.4,7388.271939006332,9.600000000000023
0.0,1613.0,142.0,4927.400000000001,5861.279885777989,10.699999999999989
0.0,1636.0,56.0,1831.2000000000003,5602.2136835874635,10.699999999999989
1.0,1413.0,64.0,2912.0,6732.590136275607,11.0
0.0,1621.0,95.0,3002.0,5364.122848347405,10.800000000000011
0.0,1309.0,188.0,9606.800000000001,7004.6939479785315,11.599999999999966
1.0,1537.0,33.0,1155.0,5633.399226662097,9.900000000000034
0.0,1546.0,109.0,4458.099999999999,6621.576723873254,11.100000000000023
0.0,1416.0,185.0,7622.000000000001,6109.266737876856,11.0
1.0,1591.0,182.0,7644.0,6997.583476605906,11.300000000000011
1.0,1534.0,121.0,5190.9,6891.460476767641,9.600000000000023
0.0,1379.0,39.0,1825.1999999999998,6758.319780108506,11.199999999999989
0.0,1530.0,185.0,6456.5,5591.720764124473,9.400000000000034
1.0,1323.0,106.0,5607.4,7328.990085633092,11.100000000000023
1.0,2133.0,207.0,3788.1000000000004,4087.620449365288,8.400000000000034
0.0,1405.0,193.0,10441.300000000001,7959.800946522899,10.700000000000045
0.0,1469.0,86.0,3405.6,6091.799482722896,8.5
2.0,1538.0,65.0,2496.0,6184.66496156301,9.099999999999966
1.0,1597.0,191.0,7009.700000000001,6137.614375587747,8.100000000000023
0.0,1448.0,72.0,3564.0,7505.893167956734,9.299999999999955
2.0,1438.0,59.0,2596.0,6625.828345931112,9.199999999999989
0.0,1617.0,203.0,6699.0,5587.950852940165,11.199999999999989
1.0,1469.0,14.0,600.6,6599.44943961647,10.0
0.0,1490.0,54.0,2219.4,6412.933083772845,11.199999999999989
1.0,1752.0,77.0,1940.3999999999999,4623.419076435027,11.199999999999989
1.0,1257.0,122.0,8698.6,9385.413804819898,9.199999999999989
2.0,1631.0,43.0,1401.8,5568.012211565382,9.900000000000034
1.0,1413.0,72.0,3189.6,6555.02731949471,10.300000000000011
0.0,1512.0,172.0,6226.400000000001,5731.772964621506,9.900000000000034
1.0,1843.0,116.0,2923.2,4863.56241887543,11.099999999999966
0.0,1739.0,128.0,3520.0,5007.96048920993,9.699999999999989
1.0,1444.0,18.0,792.0,6653.474361282703,10.900000000000034
0.0,1403.0,54.0,2467.8,6714.327010982738,11.399999999999977
0.0,1434.0,108.0,4957.2,6892.717113829077,9.600000000000023
0.0,1528.0,54.0,2025.0,6000.441968356505,11.100000000000023
2.0,1496.0,104.0,4586.400000000001,6908.739236362386,9.5
1.0,1572.0,50.0,1925.0,6337.849019352049,9.900000000000034
2.0,1596.0,75.0,2632.5,5866.358793901293,11.100000000000023
2.0,1771.0,216.0,5788.8,4970.292793293388,11.300000000000011
1.0,1255.0,77.0,4673.900000000001,7977.393865383002,11.100000000000023
1.0,1548.0,75.0,2512.5,5430.5570609953165,8.5
1.0,1747.0,188.0,5452.0,5305.416953627323,10.699999999999989
1.0,1352.0,126.0,5544.0,6229.568792558321,8.800000000000011
0.0,1496.0,60.0,2112.0,5514.458528797188,11.399999999999977
